t,l,u,R,v,phi,x,y
1.45984e+11,0.383274,1.09408,4.89872e+07,1.7668,1.85514,-1.37425e+07,4.70202e+07
1.48377e+11,0.389557,1.10395,4.91983e+07,1.77766,1.86655,-1.43392e+07,4.70623e+07
1.5077e+11,0.395841,1.11372,4.94081e+07,1.78833,1.87774,-1.49286e+07,4.70988e+07
1.53164e+11,0.402124,1.12338,4.96166e+07,1.7988,1.88874,-1.55109e+07,4.71298e+07
1.55557e+11,0.408407,1.13294,4.98239e+07,1.80909,1.89955,-1.60862e+07,4.71557e+07
1.5795e+11,0.41469,1.1424,5.003e+07,1.81921,1.91017,-1.66547e+07,4.71765e+07
1.60343e+11,0.420973,1.15176,5.02348e+07,1.82915,1.92061,-1.72166e+07,4.71925e+07
1.62736e+11,0.427257,1.16103,5.04384e+07,1.83893,1.93087,-1.77719e+07,4.72038e+07
1.6513e+11,0.43354,1.1702,5.06409e+07,1.84854,1.94097,-1.83208e+07,4.72107e+07
1.67523e+11,0.439823,1.17929,5.08421e+07,1.858,1.9509,-1.88635e+07,4.72132e+07
1.69916e+11,0.446106,1.18829,5.10421e+07,1.86731,1.96068,-1.94001e+07,4.72116e+07
1.72309e+11,0.452389,1.19721,5.1241e+07,1.87647,1.9703,-1.99307e+07,4.7206e+07
1.74702e+11,0.458673,1.20604,5.14387e+07,1.88549,1.97977,-2.04555e+07,4.71966e+07
1.77095e+11,0.464956,1.21479,5.16353e+07,1.89437,1.98909,-2.09745e+07,4.71834e+07
1.79489e+11,0.471239,1.22347,5.18307e+07,1.90312,1.99828,-2.14879e+07,4.71666e+07
1.81882e+11,0.477522,1.23206,5.2025e+07,1.91174,2.00732,-2.19959e+07,4.71464e+07
1.84275e+11,0.483805,1.24058,5.22181e+07,1.92023,2.01624,-2.24985e+07,4.71228e+07
1.86668e+11,0.490088,1.24903,5.24102e+07,1.92859,2.02502,-2.29958e+07,4.70959e+07
1.89061e+11,0.496372,1.25741,5.26012e+07,1.93684,2.03368,-2.34879e+07,4.70659e+07
1.91454e+11,0.502655,1.26571,5.2791e+07,1.94496,2.04221,-2.3975e+07,4.70329e+07
1.93848e+11,0.508938,1.27395,5.29798e+07,1.95298,2.05063,-2.44571e+07,4.6997e+07
1.96241e+11,0.515221,1.28212,5.31675e+07,1.96088,2.05893,-2.49343e+07,4.69582e+07
1.98634e+11,0.521504,1.29022,5.33542e+07,1.96868,2.06711,-2.54068e+07,4.69166e+07
2.01027e+11,0.527788,1.29826,5.35398e+07,1.97637,2.07519,-2.58745e+07,4.68724e+07
2.0342e+11,0.534071,1.30624,5.37244e+07,1.98396,2.08316,-2.63377e+07,4.68256e+07
2.05814e+11,0.540354,1.31415,5.39079e+07,1.99145,2.09102,-2.67963e+07,4.67763e+07
2.08207e+11,0.546637,1.32201,5.40904e+07,1.99884,2.09878,-2.72506e+07,4.67245e+07
2.106e+11,0.55292,1.3298,5.42719e+07,2.00614,2.10645,-2.77004e+07,4.66704e+07
2.12993e+11,0.559203,1.33754,5.44524e+07,2.01335,2.11401,-2.8146e+07,4.6614e+07
2.15386e+11,0.565487,1.34522,5.46319e+07,2.02046,2.12148,-2.85874e+07,4.65554e+07
2.17779e+11,0.57177,1.35284,5.48105e+07,2.02749,2.12886,-2.90247e+07,4.64947e+07
2.20173e+11,0.578053,1.36041,5.4988e+07,2.03443,2.13615,-2.94579e+07,4.64318e+07
2.22566e+11,0.584336,1.36793,5.51646e+07,2.04129,2.14335,-2.98871e+07,4.63669e+07
2.24959e+11,0.590619,1.3754,5.53402e+07,2.04806,2.15047,-3.03124e+07,4.63e+07
2.27352e+11,0.596903,1.38281,5.55148e+07,2.05476,2.1575,-3.07339e+07,4.62312e+07
2.29745e+11,0.603186,1.39017,5.56885e+07,2.06138,2.16445,-3.11516e+07,4.61605e+07
2.32139e+11,0.609469,1.39748,5.58613e+07,2.06792,2.17131,-3.15655e+07,4.6088e+07
2.34532e+11,0.615752,1.40475,5.60331e+07,2.07438,2.1781,-3.19758e+07,4.60137e+07
2.36925e+11,0.622035,1.41197,5.62041e+07,2.08078,2.18482,-3.23825e+07,4.59377e+07
2.39318e+11,0.628319,1.41914,5.63741e+07,2.0871,2.19146,-3.27856e+07,4.586e+07
2.41711e+11,0.634602,1.42626,5.65432e+07,2.09335,2.19802,-3.31853e+07,4.57807e+07
2.44104e+11,0.640885,1.43334,5.67114e+07,2.09954,2.20452,-3.35815e+07,4.56998e+07
2.46498e+11,0.647168,1.44037,5.68787e+07,2.10566,2.21094,-3.39743e+07,4.56173e+07
2.48891e+11,0.653451,1.44736,5.70452e+07,2.11171,2.2173,-3.43638e+07,4.55333e+07
2.51284e+11,0.659734,1.45431,5.72107e+07,2.1177,2.22358,-3.475e+07,4.54479e+07
2.53677e+11,0.666018,1.46122,5.73754e+07,2.12362,2.22981,-3.51329e+07,4.5361e+07
2.5607e+11,0.672301,1.46808,5.75393e+07,2.12949,2.23596,-3.55127e+07,4.52726e+07
2.58464e+11,0.678584,1.47491,5.77022e+07,2.13529,2.24206,-3.58894e+07,4.5183e+07
2.60857e+11,0.684867,1.48169,5.78644e+07,2.14104,2.24809,-3.62629e+07,4.5092e+07
2.6325e+11,0.69115,1.48844,5.80257e+07,2.14673,2.25407,-3.66334e+07,4.49997e+07
2.65643e+11,0.697434,1.49515,5.81861e+07,2.15236,2.25998,-3.70009e+07,4.49061e+07
2.68036e+11,0.703717,1.50181,5.83457e+07,2.15794,2.26583,-3.73655e+07,4.48112e+07
2.70429e+11,0.71,1.50845,5.85045e+07,2.16346,2.27163,-3.77271e+07,4.47152e+07
2.72823e+11,0.716283,1.51504,5.86625e+07,2.16893,2.27738,-3.80858e+07,4.4618e+07
2.75216e+11,0.722566,1.5216,5.88197e+07,2.17435,2.28306,-3.84417e+07,4.45196e+07
2.77609e+11,0.728849,1.52812,5.89761e+07,2.17971,2.2887,-3.87948e+07,4.44201e+07
2.80002e+11,0.735133,1.53461,5.91317e+07,2.18503,2.29428,-3.91452e+07,4.43194e+07
2.82395e+11,0.741416,1.54106,5.92865e+07,2.1903,2.29981,-3.94928e+07,4.42177e+07
2.84789e+11,0.747699,1.54748,5.94405e+07,2.19551,2.30529,-3.98377e+07,4.4115e+07
2.87182e+11,0.753982,1.55387,5.95937e+07,2.20069,2.31072,-4.01799e+07,4.40112e+07
2.89575e+11,0.760265,1.56022,5.97462e+07,2.20581,2.3161,-4.05196e+07,4.39064e+07
2.91968e+11,0.766549,1.56654,5.98979e+07,2.21089,2.32143,-4.08566e+07,4.38006e+07
2.94361e+11,0.772832,1.57283,6.00488e+07,2.21592,2.32672,-4.11911e+07,4.36938e+07
2.96754e+11,0.779115,1.57909,6.0199e+07,2.22091,2.33196,-4.15231e+07,4.35861e+07
2.99148e+11,0.785398,1.58531,6.03484e+07,2.22586,2.33715,-4.18526e+07,4.34775e+07
3.01541e+11,0.791681,1.59151,6.04971e+07,2.23077,2.3423,-4.21796e+07,4.33679e+07
3.03934e+11,0.797965,1.59768,6.0645e+07,2.23563,2.34741,-4.25042e+07,4.32575e+07
3.06327e+11,0.804248,1.60381,6.07922e+07,2.24045,2.35247,-4.28264e+07,4.31462e+07
3.0872e+11,0.810531,1.60992,6.09387e+07,2.24523,2.3575,-4.31462e+07,4.30341e+07
3.11114e+11,0.816814,1.616,6.10844e+07,2.24998,2.36248,-4.34637e+07,4.29211e+07
3.13507e+11,0.823097,1.62205,6.12295e+07,2.25468,2.36741,-4.37788e+07,4.28073e+07
3.159e+11,0.82938,1.62807,6.13738e+07,2.25935,2.37231,-4.40917e+07,4.26927e+07
3.18293e+11,0.835664,1.63406,6.15174e+07,2.26397,2.37717,-4.44023e+07,4.25773e+07
3.20686e+11,0.841947,1.64003,6.16603e+07,2.26857,2.38199,-4.47106e+07,4.24612e+07
3.23079e+11,0.84823,1.64597,6.18025e+07,2.27312,2.38678,-4.50168e+07,4.23443e+07
3.25473e+11,0.854513,1.65188,6.1944e+07,2.27764,2.39152,-4.53207e+07,4.22266e+07
3.27866e+11,0.860796,1.65777,6.20848e+07,2.28212,2.39623,-4.56225e+07,4.21083e+07
3.30259e+11,0.86708,1.66363,6.22249e+07,2.28657,2.4009,-4.59222e+07,4.19892e+07
3.32652e+11,0.873363,1.66947,6.23644e+07,2.29099,2.40554,-4.62198e+07,4.18694e+07
3.35045e+11,0.879646,1.67528,6.25031e+07,2.29537,2.41014,-4.65152e+07,4.1749e+07
3.37439e+11,0.885929,1.68107,6.26412e+07,2.29972,2.41471,-4.68086e+07,4.16278e+07
3.39832e+11,0.892212,1.68683,6.27786e+07,2.30404,2.41924,-4.70999e+07,4.15061e+07
3.42225e+11,0.898495,1.69257,6.29154e+07,2.30833,2.42374,-4.73892e+07,4.13836e+07
3.44618e+11,0.904779,1.69829,6.30515e+07,2.31258,2.42821,-4.76765e+07,4.12606e+07
3.47011e+11,0.911062,1.70398,6.31869e+07,2.3168,2.43265,-4.79619e+07,4.11369e+07
3.49404e+11,0.917345,1.70965,6.33217e+07,2.321,2.43705,-4.82452e+07,4.10126e+07
3.51798e+11,0.923628,1.71529,6.34558e+07,2.32516,2.44142,-4.85266e+07,4.08877e+07
3.54191e+11,0.929911,1.72091,6.35893e+07,2.3293,2.44576,-4.88061e+07,4.07623e+07
3.56584e+11,0.936195,1.72651,6.37222e+07,2.3334,2.45007,-4.90837e+07,4.06362e+07
3.58977e+11,0.942478,1.73209,6.38544e+07,2.33748,2.45435,-4.93594e+07,4.05096e+07
3.6137e+11,0.948761,1.73765,6.39859e+07,2.34153,2.4586,-4.96333e+07,4.03824e+07
3.63764e+11,0.955044,1.74319,6.41169e+07,2.34555,2.46283,-4.99052e+07,4.02547e+07
3.66157e+11,0.961327,1.7487,6.42472e+07,2.34954,2.46702,-5.01754e+07,4.01265e+07
3.6855e+11,0.967611,1.75419,6.43769e+07,2.35351,2.47119,-5.04437e+07,3.99977e+07
3.70943e+11,0.973894,1.75967,6.4506e+07,2.35745,2.47532,-5.07103e+07,3.98684e+07
3.73336e+11,0.980177,1.76512,6.46345e+07,2.36137,2.47943,-5.0975e+07,3.97386e+07
3.75729e+11,0.98646,1.77055,6.47623e+07,2.36525,2.48352,-5.12381e+07,3.96083e+07
3.78123e+11,0.992743,1.77596,6.48896e+07,2.36912,2.48757,-5.14993e+07,3.94776e+07
3.80516e+11,0.999026,1.78136,6.50162e+07,2.37296,2.49161,-5.17588e+07,3.93463e+07
3.82909e+11,1.00531,1.78673,6.51422e+07,2.37677,2.49561,-5.20167e+07,3.92145e+07
3.85302e+11,1.01159,1.79209,6.52677e+07,2.38056,2.49959,-5.22728e+07,3.90823e+07
3.87695e+11,1.01788,1.79742,6.53925e+07,2.38433,2.50354,-5.25272e+07,3.89497e+07
3.90089e+11,1.02416,1.80274,6.55168e+07,2.38807,2.50747,-5.278e+07,3.88166e+07
3.92482e+11,1.03044,1.80803,6.56405e+07,2.39179,2.51138,-5.30311e+07,3.8683e+07
3.94875e+11,1.03673,1.81331,6.57636e+07,2.39549,2.51526,-5.32806e+07,3.8549e+07
3.97268e+11,1.04301,1.81858,6.58861e+07,2.39916,2.51912,-5.35284e+07,3.84146e+07
3.99661e+11,1.04929,1.82382,6.6008e+07,2.40281,2.52295,-5.37746e+07,3.82798e+07
4.02054e+11,1.05558,1.82905,6.61293e+07,2.40644,2.52677,-5.40193e+07,3.81445e+07
4.04448e+11,1.06186,1.83425,6.62501e+07,2.41005,2.53055,-5.42623e+07,3.80089e+07
4.06841e+11,1.06814,1.83945,6.63703e+07,2.41364,2.53432,-5.45038e+07,3.78728e+07
4.09234e+11,1.07442,1.84462,6.64899e+07,2.41721,2.53807,-5.47438e+07,3.77364e+07
4.11627e+11,1.08071,1.84978,6.6609e+07,2.42075,2.54179,-5.49822e+07,3.75995e+07
4.1402e+11,1.08699,1.85492,6.67275e+07,2.42428,2.54549,-5.5219e+07,3.74623e+07
4.16414e+11,1.09327,1.86004,6.68455e+07,2.42778,2.54917,-5.54543e+07,3.73247e+07
4.18807e+11,1.09956,1.86515,6.69629e+07,2.43126,2.55283,-5.56882e+07,3.71868e+07
4.212e+11,1.10584,1.87024,6.70798e+07,2.43473,2.55647,-5.59205e+07,3.70485e+07
4.23593e+11,1.11212,1.87532,6.71961e+07,2.43818,2.56008,-5.61514e+07,3.69098e+07
4.25986e+11,1.11841,1.88038,6.73118e+07,2.4416,2.56368,-5.63808e+07,3.67708e+07
4.28379e+11,1.12469,1.88542,6.7427e+07,2.44501,2.56726,-5.66087e+07,3.66314e+07
4.30773e+11,1.13097,1.89045,6.75417e+07,2.4484,2.57082,-5.68352e+07,3.64917e+07
4.33166e+11,1.13726,1.89546,6.76558e+07,2.45177,2.57436,-5.70602e+07,3.63517e+07
4.35559e+11,1.14354,1.90046,6.77694e+07,2.45512,2.57788,-5.72838e+07,3.62113e+07
4.37952e+11,1.14982,1.90544,6.78825e+07,2.45845,2.58138,-5.7506e+07,3.60706e+07
4.40345e+11,1.15611,1.91041,6.7995e+07,2.46177,2.58486,-5.77268e+07,3.59296e+07
4.42739e+11,1.16239,1.91537,6.8107e+07,2.46507,2.58832,-5.79462e+07,3.57883e+07
4.45132e+11,1.16867,1.92031,6.82185e+07,2.46835,2.59177,-5.81642e+07,3.56466e+07
4.47525e+11,1.17496,1.92523,6.83294e+07,2.47162,2.5952,-5.83809e+07,3.55047e+07
4.49918e+11,1.18124,1.93014,6.84399e+07,2.47486,2.59861,-5.85962e+07,3.53624e+07
4.52311e+11,1.18752,1.93504,6.85498e+07,2.4781,2.602,-5.88101e+07,3.52199e+07
4.54704e+11,1.19381,1.93992,6.86592e+07,2.48131,2.60538,-5.90227e+07,3.50771e+07
4.57098e+11,1.20009,1.94479,6.8768e+07,2.48451,2.60873,-5.92339e+07,3.4934e+07
4.59491e+11,1.20637,1.94964,6.88764e+07,2.48769,2.61208,-5.94439e+07,3.47906e+07
4.61884e+11,1.21265,1.95449,6.89843e+07,2.49086,2.6154,-5.96525e+07,3.46469e+07
4.64277e+11,1.21894,1.95931,6.90916e+07,2.49401,2.61871,-5.98598e+07,3.4503e+07
4.6667e+11,1.22522,1.96413,6.91985e+07,2.49714,2.622,-6.00658e+07,3.43588e+07
4.69064e+11,1.2315,1.96893,6.93048e+07,2.50026,2.62528,-6.02705e+07,3.42143e+07
4.71457e+11,1.23779,1.97372,6.94107e+07,2.50337,2.62854,-6.0474e+07,3.40696e+07
4.7385e+11,1.24407,1.9785,6.9516e+07,2.50646,2.63178,-6.06762e+07,3.39246e+07
4.76243e+11,1.25035,1.98326,6.96209e+07,2.50953,2.63501,-6.08771e+07,3.37794e+07
4.78636e+11,1.25664,1.98801,6.97252e+07,2.5126,2.63823,-6.10767e+07,3.36339e+07
4.81029e+11,1.26292,1.99275,6.98291e+07,2.51564,2.64142,-6.12751e+07,3.34882e+07
4.83423e+11,1.2692,1.99748,6.99325e+07,2.51867,2.64461,-6.14723e+07,3.33422e+07
4.85816e+11,1.27549,2.00219,7.00354e+07,2.52169,2.64778,-6.16683e+07,3.3196e+07
4.88209e+11,1.28177,2.0069,7.01378e+07,2.5247,2.65093,-6.1863e+07,3.30496e+07
4.90602e+11,1.28805,2.01159,7.02397e+07,2.52769,2.65407,-6.20565e+07,3.29029e+07
4.92995e+11,1.29434,2.01626,7.03411e+07,2.53066,2.6572,-6.22488e+07,3.2756e+07
4.95389e+11,1.30062,2.02093,7.04421e+07,2.53363,2.66031,-6.24399e+07,3.26089e+07
4.97782e+11,1.3069,2.02559,7.05425e+07,2.53658,2.66341,-6.26299e+07,3.24615e+07
5.00175e+11,1.31319,2.03023,7.06426e+07,2.53951,2.66649,-6.28186e+07,3.2314e+07
5.02568e+11,1.31947,2.03486,7.07421e+07,2.54244,2.66956,-6.30062e+07,3.21662e+07
5.04961e+11,1.32575,2.03948,7.08411e+07,2.54535,2.67262,-6.31926e+07,3.20182e+07
5.07354e+11,1.33204,2.04409,7.09397e+07,2.54825,2.67566,-6.33778e+07,3.18701e+07
5.09748e+11,1.33832,2.04869,7.10379e+07,2.55113,2.67869,-6.35619e+07,3.17217e+07
5.12141e+11,1.3446,2.05328,7.11355e+07,2.55401,2.68171,-6.37448e+07,3.15731e+07
5.14534e+11,1.35088,2.05786,7.12327e+07,2.55687,2.68471,-6.39266e+07,3.14243e+07
5.16927e+11,1.35717,2.06242,7.13294e+07,2.55972,2.68771,-6.41073e+07,3.12753e+07
5.1932e+11,1.36345,2.06698,7.14257e+07,2.56256,2.69068,-6.42868e+07,3.11261e+07
5.21713e+11,1.36973,2.07152,7.15215e+07,2.56538,2.69365,-6.44652e+07,3.09767e+07
5.24107e+11,1.37602,2.07606,7.16168e+07,2.5682,2.69661,-6.46425e+07,3.08272e+07
5.265e+11,1.3823,2.08058,7.17117e+07,2.571,2.69955,-6.48187e+07,3.06775e+07
5.28893e+11,1.38858,2.08509,7.18062e+07,2.57379,2.70248,-6.49938e+07,3.05275e+07
5.31286e+11,1.39487,2.0896,7.19002e+07,2.57657,2.7054,-6.51678e+07,3.03774e+07
5.33679e+11,1.40115,2.09409,7.19937e+07,2.57934,2.7083,-6.53407e+07,3.02272e+07
5.36073e+11,1.40743,2.09858,7.20868e+07,2.58209,2.7112,-6.55126e+07,3.00767e+07
5.38466e+11,1.41372,2.10305,7.21794e+07,2.58484,2.71408,-6.56833e+07,2.99261e+07
5.40859e+11,1.42,2.10751,7.22716e+07,2.58757,2.71695,-6.5853e+07,2.97753e+07
5.43252e+11,1.42628,2.11197,7.23634e+07,2.5903,2.71981,-6.60216e+07,2.96244e+07
5.45645e+11,1.43257,2.11641,7.24547e+07,2.59301,2.72266,-6.61892e+07,2.94733e+07
5.48038e+11,1.43885,2.12085,7.25455e+07,2.59572,2.7255,-6.63557e+07,2.9322e+07
5.50432e+11,1.44513,2.12527,7.2636e+07,2.59841,2.72833,-6.65211e+07,2.91706e+07
5.52825e+11,1.45142,2.12969,7.2726e+07,2.60109,2.73115,-6.66856e+07,2.9019e+07
5.55218e+11,1.4577,2.1341,7.28155e+07,2.60376,2.73395,-6.68489e+07,2.88673e+07
5.57611e+11,1.46398,2.13849,7.29046e+07,2.60643,2.73675,-6.70113e+07,2.87154e+07
5.60004e+11,1.47027,2.14288,7.29933e+07,2.60908,2.73953,-6.71726e+07,2.85633e+07
5.62398e+11,1.47655,2.14726,7.30816e+07,2.61172,2.74231,-6.73329e+07,2.84112e+07
5.64791e+11,1.48283,2.15163,7.31694e+07,2.61435,2.74507,-6.74922e+07,2.82588e+07
5.67184e+11,1.48911,2.156,7.32568e+07,2.61698,2.74783,-6.76505e+07,2.81064e+07
5.69577e+11,1.4954,2.16035,7.33438e+07,2.61959,2.75057,-6.78078e+07,2.79538e+07
5.7197e+11,1.50168,2.16469,7.34303e+07,2.6222,2.7533,-6.7964e+07,2.7801e+07
5.74363e+11,1.50796,2.16903,7.35164e+07,2.62479,2.75603,-6.81193e+07,2.76481e+07
5.76757e+11,1.51425,2.17336,7.36021e+07,2.62738,2.75874,-6.82736e+07,2.74951e+07
5.7915e+11,1.52053,2.17768,7.36874e+07,2.62995,2.76145,-6.84269e+07,2.7342e+07
5.81543e+11,1.52681,2.18199,7.37722e+07,2.63252,2.76414,-6.85793e+07,2.71887e+07
5.83936e+11,1.5331,2.18629,7.38567e+07,2.63508,2.76683,-6.87306e+07,2.70353e+07
5.86329e+11,1.53938,2.19058,7.39407e+07,2.63763,2.76951,-6.8881e+07,2.68818e+07
5.88723e+11,1.54566,2.19487,7.40243e+07,2.64017,2.77218,-6.90304e+07,2.67281e+07
5.91116e+11,1.55195,2.19915,7.41074e+07,2.6427,2.77483,-6.91789e+07,2.65743e+07
5.93509e+11,1.55823,2.20342,7.41902e+07,2.64522,2.77748,-6.93264e+07,2.64204e+07
5.95902e+11,1.56451,2.20768,7.42726e+07,2.64774,2.78012,-6.94729e+07,2.62664e+07
5.98295e+11,1.5708,2.21193,7.43545e+07,2.65024,2.78275,-6.96185e+07,2.61123e+07
6.00688e+11,1.57708,2.21618,7.44361e+07,2.65274,2.78538,-6.97632e+07,2.59581e+07
6.03082e+11,1.58336,2.22041,7.45172e+07,2.65523,2.78799,-6.99069e+07,2.58037e+07
6.05475e+11,1.58965,2.22464,7.45979e+07,2.65771,2.7906,-7.00497e+07,2.56492e+07
6.07868e+11,1.59593,2.22887,7.46782e+07,2.66018,2.79319,-7.01916e+07,2.54947e+07
6.10261e+11,1.60221,2.23308,7.47581e+07,2.66265,2.79578,-7.03325e+07,2.534e+07
6.12654e+11,1.6085,2.23729,7.48376e+07,2.66511,2.79836,-7.04725e+07,2.51852e+07
6.15048e+11,1.61478,2.24149,7.49167e+07,2.66756,2.80093,-7.06116e+07,2.50303e+07
6.17441e+11,1.62106,2.24568,7.49954e+07,2.67,2.8035,-7.07498e+07,2.48753e+07
6.19834e+11,1.62734,2.24987,7.50737e+07,2.67243,2.80605,-7.08871e+07,2.47202e+07
6.22227e+11,1.63363,2.25405,7.51516e+07,2.67486,2.8086,-7.10234e+07,2.4565e+07
6.2462e+11,1.63991,2.25822,7.52291e+07,2.67728,2.81114,-7.11589e+07,2.44098e+07
6.27013e+11,1.64619,2.26238,7.53062e+07,2.67969,2.81367,-7.12934e+07,2.42544e+07
6.29407e+11,1.65248,2.26654,7.53829e+07,2.68209,2.81619,-7.14271e+07,2.40989e+07
6.318e+11,1.65876,2.27069,7.54593e+07,2.68449,2.81871,-7.15599e+07,2.39433e+07
